SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;142.251.36.106;65403;443;6;firebaseremoteconfigrealtime.googleapis.com;Google LLC, GOOGLE;771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303,0x0302,0x0301;9b02ebd3a43b62d825e1ac605b621dc8;t13d1713h1_5b57614c22b0_eca864cca44a;t13d1713h1_002f,0035,009c,009d,1301,1302,1303,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;142.251.36.138;65411;443;6;firebaseinappmessaging.googleapis.com;Google LLC, GOOGLE;771;49195-49199-49196-49200-52393-52392;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2;0403,0804,0401,0503,0805,0501,0806,0601,0201;;893d25297c894da36fbdee5cea98b01c;t12d0609h2_39a52dd9ae43_b39be8c56a14;t12d0609h2_c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;49195;23-65281-11-35-16;;eca9b8f0f3eae50309eaf901cb822d9b;t1205h2_c02b_4993ccf7354b;t1205h2_c02b_0017,ff01,000b,0023;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.153.57;65414;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.153.57;65415;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.153.57;65416;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.153.57;65417;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.153.57;65418;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;172.64.155.86;65419;443;6;webapi.alza.cz;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;185.181.177.72;65404;443;6;signalrcore.alza.cz;Alza.cz Hostmaster Role, DC1 (CZ);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;t13d1513h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/alza_02-11-extracted.csv;0
192.168.3.28;185.181.177.72;65405;443;6;signalrcore.alza.cz;Alza.cz Hostmaster Role, DC1 (CZ);771;4865-4866-4867-49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13-51-45-43-21;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;t13d1513h2_002f,0035,009c,009d,1301,1302,1303,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0023,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;4866;43-51;0x0304;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;t130200_1302_002b,0033;tests/apps3/alza_02-11-extracted.csv;0
