SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;104.18.34.199;50821;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;104.18.34.199;50822;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;104.18.34.199;50823;443;6;www.alza.sk;Cloudflare, Inc., CLOUDFLARENET;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;49195;0-23-65281-11-35-16-5;;9ebc57def2efb523f25c77af13aa6d48;t1207h2_c02b_d0d4e4171d74;t1207h2_c02b_0017,ff01,000b,0023,0005;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;142.251.36.110;65304;443;17;android.apis.google.com;Google LLC, GOOGLE;771;4865-4866-4867;51-17513-10-42-16-0-27-13-45-57-43-41;0x001d,0x0017,0x0018;;h3;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304;e9016a43fc101f11e86c9b8d6b3bcdf4;q13d0312h3_55b375c5d22e_73e2d9e6cde6;q13d0312h3_1301,1302,1303_000a,000d,001b,0029,002a,002b,002d,0033,0039,4469_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;q130300_1301_6bbbaf601ed8;q130300_1301_0029,0033,002b;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;142.251.36.74;50810;443;6;firebaseinappmessaging.googleapis.com;Google LLC, GOOGLE;771;49195-49199-49196-49200-52393-52392;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2;0403,0804,0401,0503,0805,0501,0806,0601,0201;;893d25297c894da36fbdee5cea98b01c;t12d0609h2_39a52dd9ae43_b39be8c56a14;t12d0609h2_c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;49195;23-65281-11-35-16;;eca9b8f0f3eae50309eaf901cb822d9b;t1205h2_c02b_4993ccf7354b;t1205h2_c02b_0017,ff01,000b,0023;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;142.251.37.106;50811;443;6;firebaseremoteconfigrealtime.googleapis.com;Google LLC, GOOGLE;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;6ec2896feff5746955f700c0023f5804;t12d1409h1_c866b44c5a26_b39be8c56a14;t12d1409h1_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;49195;23-65281-11-35-16;;eca9b8f0f3eae50309eaf901cb822d9b;t1205h1_c02b_4993ccf7354b;t1205h1_c02b_0017,ff01,000b,0023;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;142.251.37.106;50820;443;6;firebaseremoteconfig.googleapis.com;Google LLC, GOOGLE;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;6ec2896feff5746955f700c0023f5804;t12d1409h1_c866b44c5a26_b39be8c56a14;t12d1409h1_002f,0035,009c,009d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;A;49195;23-65281-11-35-16;;eca9b8f0f3eae50309eaf901cb822d9b;t1205h1_c02b_4993ccf7354b;t1205h1_c02b_0017,ff01,000b,0023;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;156.146.40.49;50829;443;6;image.alza.cz;Datacamp Ltd. technical staff, CDN77-BRA (SK);771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;52392;65281-0-11-35-16-23;;3653a20186a5b490426131a611e01992;t1206h2_cca8_12a20535f9be;t1206h2_cca8_ff01,000b,0023,0017;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;156.146.40.49;50830;443;6;image.alza.cz;Datacamp Ltd. technical staff, CDN77-BRA (SK);771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;52392;65281-0-11-35-16-23;;3653a20186a5b490426131a611e01992;t1206h2_cca8_12a20535f9be;t1206h2_cca8_ff01,000b,0023,0017;tests/apps3/alza_03-14-extracted.csv;0
192.168.3.28;156.146.40.49;50831;443;6;image.alza.cz;Datacamp Ltd. technical staff, CDN77-BRA (SK);771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-65281-10-11-35-16-5-13;0x001d,0x0017,0x0018;0;h2,http/1.1;0403,0804,0401,0503,0805,0501,0806,0601,0201;;eaabed81520b23ea8a800b36bd7e359e;t12d1209h2_d34a8e72043a_b39be8c56a14;t12d1209h2_002f,0035,009c,009d,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,0023,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;alza;0;52392;65281-0-11-35-16-23;;3653a20186a5b490426131a611e01992;t1206h2_cca8_12a20535f9be;t1206h2_cca8_ff01,000b,0023,0017;tests/apps3/alza_03-14-extracted.csv;0
