SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
192.168.3.28;104.18.43.97;49320;443;6;updates2.signal.org;Cloudflare, Inc., CLOUDFLARENET;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;104.18.43.97;49321;443;6;updates2.signal.org;Cloudflare, Inc., CLOUDFLARENET;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;104.18.43.97;49322;443;6;updates2.signal.org;Cloudflare, Inc., CLOUDFLARENET;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;51-43;0x0304;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;t130200_1301_0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;104.18.43.97;49323;443;6;updates2.signal.org;Cloudflare, Inc., CLOUDFLARENET;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43-21-41;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;55e4ef36c35fd3db367103d07f130f26;t13d091200_f91f431d341e_f0527480ae2d;t13d091200_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0029,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;t130300_1301_6bbbaf601ed8;t130300_1301_0029,0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;104.18.43.97;49324;443;6;updates2.signal.org;Cloudflare, Inc., CLOUDFLARENET;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43-21-41;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;55e4ef36c35fd3db367103d07f130f26;t13d091200_f91f431d341e_f0527480ae2d;t13d091200_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0015,0017,0029,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;41-51-43;0x0304;2b0648ab686ee45e0e7c35fcfb0eea7e;t130300_1301_6bbbaf601ed8;t130300_1301_0029,0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;104.30.128.72;55312;443;17;mask.icloud.com;Cloudflare, Inc., CLOUDFLARENET;771;4866;10-43-51-13-20-45-0-57-16;0x001d;;h3;0403;0x0304;4193fd0499c37e8eed9fec80787b295f;q13d0109h3_ee47968ec53b_cf6d9b7e5ad4;q13d0109h3_1302_000a,000d,0014,002b,002d,0033,0039_0403;signal;0;4866;51-43;0x0304;907bf3ecef1c987c889946b737b43de8;q130200_1302_234ea6891581;q130200_1302_0033,002b;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;17.248.209.70;49489;443;6;gateway.icloud.com;Apple Inc., APPLE-WWNET;771;4865-4866-4867-49196-49195-52393-49200-49199-52392-49162-49161-49172-49171-157-156-53-47-49160-49170-10;0-23-65281-10-11-16-5-13-18-51-45-43-27-21;0x8a8a,0x001d,0x0017,0x0018,0x0019;0;h2,http/1.1;0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;0x6a6a,0x0304,0x0303,0x0302,0x0301;773906b0efdefa24a7f2b8eb6985bf37;t13d2014h2_a09f3c656075_14788d8d241b;t13d2014h2_000a,002f,0035,009c,009d,1301,1302,1303,c008,c009,c00a,c012,c013,c014,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0012,0015,0017,001b,002b,002d,0033,ff01_0403,0804,0401,0503,0203,0805,0805,0501,0806,0601,0201;signal;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;3.165.206.72;49317;443;6;cdn.signal.org;Amazon.com, Inc., AMAZON-CF;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;3.165.206.72;49318;443;6;cdn.signal.org;Amazon.com, Inc., AMAZON-CF;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/signal_01-11-extracted.csv;0
192.168.3.28;3.165.206.72;49319;443;6;cdn.signal.org;Amazon.com, Inc., AMAZON-CF;771;4865-4866-4867-49195-49196-52393-49199-49200-52392;0-23-65281-10-11-5-13-51-45-43;0x001d,0x0017,0x0018;0;;0403,0804,0401,0503,0805,0501,0806,0601,0201;0x0304,0x0303;906d7a3230848ff8bd211b223ea68785;t13d091000_f91f431d341e_86dd91ae2a36;t13d091000_1301,1302,1303,c02b,c02c,c02f,c030,cca8,cca9_0005,000a,000b,000d,0017,002b,002d,0033,ff01_0403,0804,0401,0503,0805,0501,0806,0601,0201;signal;0;4865;43-51;0x0304;f4febc55ea12b31ae17cfb7e614afda8;t130200_1301_a56c5b993250;t130200_1301_002b,0033;tests/apps3/signal_01-11-extracted.csv;0
