SrcIP;DstIP;SrcPort;DstPort;SNI;OrgName;JA3hash;JA4 hash;AppName;Type;JA3S hash;JA4S hash;Filename;Version
192.168.3.28;47.246.2.232;64908;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64911;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64913;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64915;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64918;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64920;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64922;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64937;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64943;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64949;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64959;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.2.232;64966;443;global-orange-source.alibaba.com;AL-3, AL-3;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
